name,index year,overall score,property rights,freedom from corruption,fiscal freedom,government spending,business freedom,labor freedom,monetary freedom,trade freedom,investment freedom,financial freedom
Macau,2009,72,60,57,79.3,93.2,60,60,80.3,90,70,70
Macedonia,2009,61.2,30,33,89.4,65.1,58.2,59.8,85.4,81.6,50,60
Madagascar,2009,62.2,50,32,80.9,86.3,60.5,46,73.9,72.6,70,50
Malawi,2009,53.7,50,27,70.7,48.6,45.2,57.2,69.8,68.8,50,50
Malaysia ,2009,64.6,50,51,83,81.4,70.8,71.5,79.9,78.2,40,40
Maldives,2009,51.3,30,33,95.8,0,83.2,90.1,76.5,44,30,30
Mali,2009,55.6,30,27,69.4,81.4,42.2,63.8,79.6,73,50,40
Malta,2009,66.1,90,58,63.1,41.7,70,60,82.7,85.8,50,60
Mauritania,2009,53.9,25,26,75.4,65.9,53.6,50.2,77.7,75.6,50,40
Mauritius,2009,74.3,60,47,92.2,80.8,83.3,71.5,71.1,86.8,80,70
Mexico,2009,65.8,50,35,83.4,81.8,80.3,59.8,77.5,80.2,50,60
Micronesia,2009,51.7,30,30,97.4,0,59.8,82.3,76.7,81,30,30
Moldova,2009,54.9,40,28,85.3,51.3,70.1,45.1,67.6,81.6,30,50
Mongolia,2009,62.8,30,30,81.3,69.9,71,67.7,76.7,81.2,60,60
Montenegro,2009,58.2,40,33,89.1,45.3,68.7,57.2,78.9,80.2,40,50
Morocco,2009,57.7,35,35,65.1,76.5,76.2,30.8,80.5,68,60,50
Mozambique ,2009,55.7,30,28,77.7,76.5,54.2,41.1,75.9,73.4,50,50
Namibia,2009,62.4,30,45,67.2,69.7,74.4,85,74.6,88.4,40,50
Nepal,2009,53.2,30,25,86.3,91,60.5,46.9,78.7,63.2,20,30
New Zealand,2009,82,95,94,62.5,49.6,99.9,89.6,84.6,84.6,80,80
Nicaragua ,2009,59.8,25,26,78.8,71,57.6,70.6,69.5,79.2,70,50
Niger,2009,53.8,30,26,66.3,88.8,36.9,40.6,89.5,70.4,50,40
Nigeria,2009,55.1,30,22,84.4,64.3,55.1,85.8,77.9,61.8,30,40
North Korea,2009,2,5,5,0,0,0,0,0,0,10,0
Norway,2009,70.2,90,87,50.3,50.5,88.1,48.6,78.1,89.2,60,60
Oman,2009,67,50,47,98.5,61.1,63.3,75,71.4,83.6,60,60
Pakistan ,2009,57,30,24,80.4,90.7,72.5,54.5,72.2,65.6,40,40
Panama ,2009,64.7,30,32,82.6,89.8,74.5,44.1,77.9,76.2,70,70
Papua New Guinea,2009,54.8,20,20,67.4,71,60.1,81.1,81.4,87.2,30,30
Paraguay ,2009,61,30,24,96.6,90.4,61.7,27,76.7,83.6,60,60
Peru,2009,64.6,40,35,79.7,91.8,65.1,48.7,86.5,79.4,60,60
Poland,2009,60.3,50,42,69,42.2,53.7,59.8,80.8,85.8,60,60
Portugal,2009,64.9,70,65,61.6,35.4,81.1,40.3,79.9,85.8,70,60
Qatar,2009,65.8,50,60,99.9,69.1,75.7,64.7,67.3,81.6,40,50
Republic of Congo ,2009,45.4,10,21,60.2,77.6,50.1,45.6,73.9,55.4,30,30
Romania,2009,63.2,35,37,87,70,74.9,57.1,75,85.8,60,50
Russia,2009,50.8,25,23,78.9,70.6,54,60,65.5,60.8,30,40
Rwanda,2009,54.2,30,28,76.8,76.8,58.9,59.5,70.8,61.2,40,40
Saint Lucia,2009,68.8,70,68,74,68.5,87.7,82.8,85.1,72,40,40
Saint Vincent and the Grenadines,2009,64.3,70,61,64.7,60.9,78.2,78.5,75.6,73.6,40,40
Samoa,2009,59.5,60,45,86.2,56.2,61.5,80.2,75.7,70,30,30
Ṣo Tom̩ and Pr�_ncipe ,2009,43.8,30,27,75,22,45.1,48,61.4,60,40,30
Saudi Arabia,2009,64.3,40,34,99.6,73.4,79.6,76.4,68.4,81.8,40,50
Senegal,2009,56.3,50,36,65.1,77,65,42.5,76.5,71.2,40,40
Serbia ,2009,56.6,40,34,85.9,46.3,56,70,65.8,78,40,50
Seychelles,2009,47.8,50,45,73.8,0,65.5,57.1,78.1,28.4,50,30
Sierra Leone,2009,47.8,10,21,80.9,86.3,57,33.4,73.8,66,30,20
Singapore,2009,87.1,90,93,91.1,93.8,98.3,98.1,86.8,90,80,50
Slovakia,2009,69.4,50,49,84.1,57.4,73.4,75.3,78.7,85.8,70,70
Slovenia,2009,62.9,60,66,62.9,38.4,84.5,42.8,78.6,85.8,60,50
Solomon Islands,2009,46,30,28,68.9,0,67.2,76.3,73.5,66.4,20,30
South Africa,2009,63.8,50,51,68.9,77.6,74.6,56.8,74.3,74.8,50,60
South Korea,2009,68.1,70,51,70.4,72.5,90.4,46.4,80,70.2,70,60
Spain,2009,70.1,70,67,58.6,55.3,76.8,48.3,78.9,85.8,80,80
Sri Lanka,2009,56,40,32,73.2,80.5,73.7,70.8,59.4,71,20,40
Sudan,2009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Suriname,2009,54.1,40,35,67.7,75.5,41.5,84.8,72.2,64.2,30,30
Swaziland,2009,59.1,50,33,64.3,70.6,68.6,69.6,73.1,71.6,50,40
Sweden,2009,70.5,90,93,35,7.3,95.9,55.5,82.1,85.8,80,80
Switzerland,2009,79.4,90,90,67.5,65.3,82.9,79.2,83.9,85.4,70,80
Syria,2009,51.3,30,24,87,74.9,61.4,54.9,67.2,54,40,20
Taiwan,2009,69.5,70,57,76.2,89.4,69.5,45.7,82.1,85.2,70,50
Tajikistan,2009,54.6,30,21,89.3,85.9,45.1,58.7,63.2,82.6,30,40
Tanzania,2009,58.3,30,32,80.6,83.4,48.1,49.9,73.4,75.6,60,50
Thailand ,2009,63,50,33,74.4,90.6,71.1,76.5,69,75.6,30,60
The Bahamas,2009,70.3,75,50,96.5,84.4,74.7,80.4,75.5,56,40,70
The Gambia,2009,55.8,30,23,71.9,74.4,59.9,67,71.9,59.6,50,50
The Netherlands,2009,77,90,90,50.9,36.2,86.5,63.3,87,85.8,90,90
The Philippines,2009,56.8,30,25,75.4,90.8,49.3,51.4,77.2,78.6,40,50
Timor-Leste,2009,50.5,20,26,64.7,84,47,66,74.1,73,30,20
Togo,2009,48.7,30,23,53.7,86.6,36.6,44.7,81.5,70.6,30,30
Tonga,2009,54.1,20,17,82.5,58,79,99.4,68.9,56,40,20
Trinidad and Tobago,2009,68,60,34,79.7,75.6,60.1,78.3,72.2,79.8,70,70
Tunisia,2009,58,50,42,76.5,78.3,81.6,60.1,78.4,53,30,30
Turkey,2009,61.6,50,41,73.2,83.4,69.9,40.3,71.1,86.6,50,50
Turkmenistan,2009,44.2,10,20,90.9,93.6,30,30,68,79.2,10,10
Uganda,2009,63.5,30,28,80.4,86.9,58.7,87.9,78.4,75.2,50,60
Ukraine,2009,48.8,30,27,77,39,40.5,52.4,68.1,84,30,40
United Arab Emirates,2009,64.7,40,57,99.9,86.3,57.4,76.2,69.8,80.8,30,50
United Kingdom,2009,79,90,84,61,40.3,89.8,78.5,80.4,85.8,90,90
United States,2009,80.7,90,72,67.5,59.6,91.9,95.1,84,86.8,80,80
Uruguay ,2009,69.1,70,67,82.2,76.5,65.6,73.7,72.8,83.4,70,30
Uzbekistan,2009,50.5,20,17,88.3,68.1,68.4,64.9,62.6,65.4,30,20
Vanuatu,2009,58.4,40,31,95.3,84,69,52.6,78.7,63,30,40
Venezuela ,2009,39.9,5,20,70.6,69.3,50.8,30.1,53.7,59.6,10,30
Vietnam,2009,51,10,26,74.3,77.3,61.7,70,67,63.4,30,30
Yemen,2009,56.9,30,25,83.2,57.1,74.9,75.8,66.5,76.2,50,30
Zambia,2009,56.6,30,26,72.9,82.1,68.8,51,64.1,71.2,50,50
Zimbabwe,2009,22.7,5,21,44.1,4.6,30.8,51.2,0,50.4,10,10
Afghanistan,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,2008,62.4,30,26,90.3,76,55.6,49.5,80.4,75.8,70,70
Algeria,2008,56.2,30,31,77,74.6,73.6,57,80.2,68.8,40,30
Angola,2008,46.9,20,22,85.2,72.8,36.7,41.5,57.8,73,20,40
Argentina,2008,54.2,30,29,70.5,80.9,63.7,42.9,65,69.6,50,40
Armenia,2008,69.9,35,29,89,86.4,81.3,68.2,84.6,85,70,70
Australia,2008,82.2,90,87,59.2,62.8,90.3,95.5,83.7,83.8,80,90
Austria,2008,71.4,90,86,51.2,25.3,80.9,73.2,81.4,86,70,70
Azerbaijan,2008,55.3,30,24,80.4,82.9,62.6,58.7,76.5,78.4,30,30
Bahrain,2008,72.2,60,57,99.7,80.3,80,40,74.3,80.8,60,90
Bangladesh ,2008,44.2,25,20,84,93.2,56.5,54.5,68.9,0,20,20
Barbados,2008,71.3,90,67,71.3,62.2,90,80,74,58.8,60,60
Belarus,2008,45.3,20,21,81,55.5,58.8,68.6,66.2,52.2,20,10
Belgium,2008,71.7,80,73,43.9,17.9,93.7,71.6,80.4,86,90,80
Belize,2008,63,50,35,69.3,74.8,76.5,82.5,77.3,64.6,50,50
Benin,2008,55.2,30,25,67.5,86.4,48.1,52.7,77.5,65.2,40,60
Bhutan,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bolivia,2008,53.1,25,27,87.8,68.1,59,28.8,76.5,79,20,60
Bosnia and Herzegovina,2008,53.9,10,29,73.7,48.3,57.2,54.2,76.6,79.8,50,60
Botswana,2008,68.2,70,56,76.4,61.8,69.1,71.1,69.7,67.6,70,70
Brazil,2008,56.2,50,33,68.6,55.5,54,63.9,75.7,70.8,50,40
Bulgaria,2008,63.7,30,40,82.7,56,68.4,80.6,73.7,86,60,60
Burkina Faso,2008,55.7,30,32,77.5,85.9,50.7,45.8,78.8,66.6,40,50
Burma,2008,39.5,10,19,81.7,97,20,20,56.5,71,10,10
Burundi,2008,46.2,30,24,72.1,59.4,35.5,56,74.7,50.2,30,30
Cambodia,2008,55.9,30,21,91.4,94.2,43,46.3,80.9,52.2,50,50
Cameroon,2008,54.3,30,23,71.8,93.6,40.3,55,72.3,57,50,50
Canada,2008,80.2,90,85,75.5,53.7,96.7,82.7,81,87,70,80
Cape Verde,2008,57.9,70,40,66.2,60.5,55.3,56.7,78.7,41.2,60,50
Central African Republic,2008,48.6,20,24,65.5,91.6,40.8,49.9,72.5,51.4,30,40
Chad,2008,47.8,20,20,49.9,94.9,34.6,45,73.6,60,40,40
Chile,2008,78.6,90,73,78.1,88.2,67.8,77.4,78.8,82.2,80,70
China,2008,53.1,20,33,66.4,89.7,50.3,64.8,76.5,70.2,30,30
Colombia,2008,62.2,40,39,72.8,71.2,72.5,63.9,71.4,70.8,60,60
Comoros,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Costa Rica ,2008,64.2,50,41,82.9,87.4,60,61.2,67.9,81.8,70,40
C̫te d'Ivoire ,2008,53.9,30,21,52.3,88.1,47.3,60.2,80.7,59.8,40,60
Croatia,2008,54.1,30,34,68.8,28,58.5,45.5,78.8,87.6,50,60
Cuba,2008,27.5,10,35,54.8,0,10,20,64.6,60.8,10,10
Cyprus,2008,71.3,90,56,78.2,43,70,70,85,81,70,70
Czech Republic,2008,68.1,70,48,71.3,45.6,64.2,66.1,80.3,86,70,80
Democratic Republic of Congo,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Denmark,2008,79.2,90,95,35,19.8,99.9,100,86.5,86,90,90
Djibouti,2008,51.2,30,30,80.8,57.8,37.7,59.6,78.3,28.2,50,60
Dominica,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dominican Republic,2008,57.7,30,28,80.4,88.8,62.6,54.9,69.3,73,50,40
Ecuador,2008,55.2,30,23,86.4,82.3,58.7,40.3,74.1,67.6,40,50
Egypt,2008,58.5,40,33,90.8,73,60.2,62.2,69.9,66,50,40
El Salvador ,2008,68.5,50,40,83.4,88.7,59.5,69.9,76.8,76.6,70,70
Equatorial Guinea,2008,51.6,30,21,75.4,82,47.1,47.2,81.1,52.2,30,50
Eritrea,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Estonia,2008,77.9,90,67,86,62,85.3,50.7,82,86,90,80
Ethiopia,2008,52.5,30,24,77.2,80.9,58.8,61.9,69.4,63,40,20
Fiji,2008,61.8,30,40,74.5,75.3,69.8,85,78.9,74.2,30,60
Finland,2008,74.6,90,96,64.3,29.1,95.2,46.4,88.5,86,70,80
France,2008,64.7,70,74,53.2,13.2,88,56.4,81.2,81,60,70
Gabon,2008,54.2,40,30,61.7,85.6,53.2,60.1,74.6,56.4,40,40
Georgia,2008,69.2,35,28,90.7,81.2,85,100,71.4,71,70,60
Germany,2008,70.6,90,80,58.4,34,89.9,46.3,81.4,86,80,60
Ghana,2008,57,50,33,83.7,71.5,53.4,47.6,68,63,50,50
Greece,2008,60.6,50,44,65.6,57.8,70.4,58.8,78.5,81,50,50
Guatemala ,2008,59.8,30,26,79.9,95.9,54.6,60,72.9,78.4,50,50
Guinea,2008,52.8,30,19,70.1,88.7,45.9,70.8,54.3,59.6,40,50
Guinea-Bissau,2008,44.4,20,10,88.4,56.5,24.8,51.7,75.7,56.8,30,30
Guyana,2008,48.8,40,25,67.3,16,56.6,63.1,73.9,65.8,40,40
Haiti,2008,49,10,18,77.8,93.2,35.8,62.6,65.3,67,30,30
Honduras ,2008,58.9,30,25,84.5,82.6,59.9,45.4,73.7,78,50,60
Hong Kong,2008,89.7,90,83,92.8,93.1,89,86.5,87.2,95,90,90
Hungary ,2008,67.6,70,52,70,26.5,74.4,70.3,77.2,86,80,70
Iceland,2008,75.8,90,96,73.6,46.3,94.5,67.9,74.8,85,60,70
India,2008,54.1,50,33,75.7,73.5,50.9,66.5,70.3,51,40,30
Indonesia,2008,53.2,30,24,77.5,89.7,49.1,50.3,68.2,73,30,40
Iran,2008,45,10,27,81.1,84.5,55.8,53.1,61.3,57.4,10,10
Iraq,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ireland,2008,82.5,90,74,71.5,64.5,93,81.1,84.9,86,90,90
Israel,2008,66.3,70,59,55.9,35.1,68.6,66,81.8,86.6,80,60
Italy,2008,62.6,50,49,54.3,29.4,77,74.5,80.6,81,70,60
Jamaica ,2008,65.7,50,37,74.9,59.6,82.3,68.4,74.3,70.4,80,60
Japan,2008,73,70,76,70.3,56.2,88.1,85.1,94.3,80,60,50
Jordan,2008,64.1,55,53,83.7,53.2,56.3,74.6,80.4,74.8,50,60
Kazakhstan,2008,61.1,30,26,80.1,84.7,56.8,85.5,71.9,86.2,30,60
Kenya,2008,59.3,35,22,78.2,84.8,65.6,60.1,72.2,75,50,50
Kiribati,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kuwait,2008,68.1,55,48,99.9,74.6,68.6,80.2,73.8,81,50,50
Kyrgyz Republic ,2008,61.1,30,22,93.9,76.1,60.7,71.3,75.6,81.4,50,50
Laos,2008,50.3,10,26,71,92.1,60.8,63.4,73,57,30,20
Latvia,2008,68.3,55,47,83.4,59.2,74.8,64.1,73.8,86,70,70
Lebanon,2008,60,30,36,91.4,69.5,55.6,62.2,77.8,77.4,30,70
Lesotho,2008,52.1,40,32,67.2,46.8,58.2,65.5,75.4,56.4,30,50
Liberia,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Libya,2008,38.7,10,27,81.7,63.5,20,20,74.9,39.6,30,20
Liechtenstein,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,2008,70.9,50,48,86.3,68.3,84.2,57.7,78.5,86,70,80
Luxembourg,2008,74.7,90,86,65.4,44.8,77.3,47.4,79.8,86,90,80
Macau,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Macedonia,2008,61.1,30,27,88.1,61.6,65.2,60.2,85.5,83.4,50,60
Madagascar,2008,62.4,50,31,80.9,86.4,56,48.1,72.2,79.6,70,50
Malawi,2008,52.7,40,27,70.2,44.3,52.2,58.6,69.9,64.6,50,50
Malaysia ,2008,63.9,50,50,82.2,80.8,69.3,72.1,78.6,76.2,40,40
Maldives,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mali,2008,55.6,30,28,69.3,81.5,42.1,66,79.9,68.6,50,40
Malta,2008,66,90,64,61.3,29.1,70,60,79.8,86,50,70
Mauritania,2008,55.2,30,31,75.4,66.3,39.9,51.9,77.1,70.2,60,50
Mauritius,2008,72.6,60,51,92.1,81.4,82,72.9,75.7,80.6,70,60
Mexico,2008,66.2,50,33,83.4,83.7,82.9,61.9,77.7,79,50,60
Micronesia,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Moldova,2008,57.9,50,32,83,56.9,69.3,60.7,67.6,79.2,30,50
Mongolia,2008,63.6,30,28,85,71.7,72.2,69.5,78.2,81.4,60,60
Montenegro,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morocco,2008,55.6,35,32,65.4,73.2,76.1,31.9,79.8,62.6,60,40
Mozambique ,2008,55.4,30,28,78.1,85.2,53.8,32.9,73.6,72.8,50,50
Namibia,2008,61.4,30,41,67.9,71,74.2,86.2,76.8,87.4,30,50
Nepal,2008,54.1,30,25,86.5,92,60.9,46.3,78.5,61.4,30,30
New Zealand,2008,80.7,90,96,60.5,56,99.9,90.6,83.7,80.8,70,80
Nicaragua ,2008,60.8,25,26,79,77.6,56.8,73.7,70.6,79.2,70,50
Niger,2008,52.9,30,23,66.4,89.3,36.2,43.5,86,64.4,50,40
Nigeria,2008,55.1,30,22,84.4,68.1,52.9,86.6,73.8,63.4,30,40
North Korea,2008,3,10,10,0,0,0,0,0,0,10,0
Norway,2008,68.6,90,88,50.3,46.3,89.1,49.5,76.1,86.2,60,50
Oman,2008,67.3,50,54,98.5,60.7,55.8,75.4,74.7,83.6,60,60
Pakistan ,2008,55.6,30,22,79.1,90.1,70.8,56.4,72.2,65.2,40,30
Panama ,2008,64.7,30,31,83,89.1,73,44.6,80.2,76.2,70,70
Papua New Guinea,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paraguay ,2008,60,35,26,96.6,90.8,58.5,28,76.6,78.4,50,60
Peru,2008,63.8,40,33,80.2,91.8,65.7,47.5,85.9,73.4,60,60
Poland,2008,60.3,50,37,68.6,43.5,54.2,61.3,82.3,86,60,60
Portugal,2008,63.9,70,66,61.3,32.6,80.5,43.1,79.4,86,70,50
Qatar,2008,62.2,50,60,99.8,72.1,60,60,69.4,70.8,30,50
Republic of Congo ,2008,45.3,10,22,60.1,83.1,45.4,45.2,73,54.6,30,30
Romania,2008,61.7,30,31,85.6,70.8,74.9,56.3,72.5,86,60,50
Russia,2008,49.8,30,25,79.2,69.5,53.7,61.7,64.4,44.2,30,40
Rwanda,2008,54.2,30,25,76.9,75.6,51.8,58.9,73.3,70.6,40,40
Saint Lucia,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saint Vincent and the Grenadines,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samoa,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ṣo Tom̩ and Pr�_ncipe ,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saudi Arabia,2008,62.5,50,33,99.7,69.1,73,77.2,76.7,76.8,30,40
Senegal,2008,58.3,50,33,65.2,82.3,55.5,43.9,81.4,71.6,50,50
Serbia ,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Seychelles,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sierra Leone,2008,48.3,10,22,81,81.8,49.5,33.9,74.4,60.2,30,40
Singapore,2008,87.3,90,94,90.3,93.9,97.8,98,88.9,90,80,50
Slovakia,2008,70,50,47,89.4,53.9,69.5,77.1,76.9,86,70,80
Slovenia,2008,60.2,50,64,62.4,33.2,74.1,42.4,79.5,86,60,50
Solomon Islands,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,2008,63.4,50,46,69.5,76.8,71.4,59.1,77.2,74.2,50,60
South Korea,2008,68.6,70,51,71.1,77.3,84.1,56,80,66.4,70,60
Spain,2008,69.1,70,68,54.5,56.2,77.9,50.2,78.1,86,70,80
Sri Lanka,2008,58.4,50,31,73.5,81.7,71.6,71.4,65.4,69.6,30,40
Sudan,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Suriname,2008,54.3,50,30,68,72.8,41.9,86.3,69.2,65,30,30
Swaziland,2008,58.4,50,25,71.4,62.4,69.5,71,76,69,50,40
Sweden,2008,70.8,90,92,32.7,3.9,95.6,65,82.8,86,80,80
Switzerland,2008,79.5,90,91,68,61.6,83.9,79.9,83.6,87.2,70,80
Syria,2008,47.2,30,29,86.2,60.3,53.8,52.1,66.2,54,30,10
Taiwan,2008,70.3,70,59,75.9,87.8,70.8,49.2,83.3,86.7,70,50
Tajikistan,2008,54.4,30,22,89.3,84.1,44.4,60.2,65.8,77.8,30,40
Tanzania,2008,56.5,30,29,80.5,79.9,48.2,48.4,75.4,73.2,50,50
Thailand ,2008,62.3,50,36,74.7,90.7,72.2,77.7,66.7,75.2,30,50
The Bahamas,2008,71.1,80,70,96.2,86.4,80,80,76.3,32,40,70
The Gambia,2008,56.9,30,25,72.5,72.8,57.5,74.8,73.9,62.6,50,50
The Netherlands,2008,77.4,90,87,51.6,38.2,88,65.8,86.9,86,90,90
The Philippines,2008,56,30,25,75.8,90.2,53.1,52.9,73.8,78.8,30,50
Timor-Leste,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Togo,2008,48.9,30,24,53.9,88.8,36.4,48.3,78.2,69.2,30,30
Tonga,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trinidad and Tobago,2008,69.5,65,32,81,81.7,65,79.1,72.6,79,70,70
Tunisia,2008,60.1,50,46,76.4,77.1,80.1,62.3,77.6,71.8,30,30
Turkey,2008,59.9,50,38,77.7,68.3,68.3,39.5,70.8,86.8,50,50
Turkmenistan,2008,43.4,10,22,90.6,85.3,30,30,66.4,79.2,10,10
Uganda,2008,63.8,30,27,80.5,86,56.5,87.8,78.5,72,50,70
Ukraine,2008,51,30,28,79,43,44.4,53.1,69.9,82.2,30,50
United Arab Emirates,2008,62.6,40,62,99.9,80.2,48.2,74.1,70.9,80.4,30,40
United Kingdom,2008,79.4,90,86,61.2,40.1,90.8,79.5,80.7,86,90,90
United States,2008,81,90,73,68.3,59.8,92.6,95.4,83.7,86.8,80,80
Uruguay ,2008,67.9,70,64,85.9,76.6,60.8,74.4,74.2,83,60,30
Uzbekistan,2008,51.9,30,21,88,68.3,68.5,66.9,57.5,68.4,30,20
Vanuatu,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Venezuela ,2008,44.7,10,23,74.5,79.7,51.6,33,60.6,54.6,20,40
Vietnam,2008,50.4,10,26,74.3,78,60.4,65.2,67.4,62.8,30,30
Yemen,2008,53.8,30,26,83.2,58.5,54.8,76.5,62.9,66.4,50,30
Zambia,2008,56.2,40,26,72.6,80.3,63.5,45.8,62.9,71.2,50,50
Zimbabwe,2008,29.5,10,24,57.8,24.1,41.1,52.1,0,55.4,10,20
Afghanistan,2007,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,2007,61.4,30,24,87.3,75.1,64.1,49.7,80.3,73.2,60,70
Algeria,2007,55.4,30,28,73.8,74.2,73.7,57.6,80.7,66,50,20
Angola,2007,44.7,20,20,85,61.6,35.3,44.9,47.7,73,20,40
Argentina,2007,54,30,28,70.7,81.5,63.9,42.9,71.4,61.4,50,40
Armenia,2007,68.6,30,29,89.7,90.8,80.8,70.3,80.3,85.6,60,70
Australia,2007,81.1,90,88,59.5,62.6,89.1,93.7,84.8,83.8,70,90
Austria,2007,71.6,90,87,50.3,24.7,81.7,70.1,86,86.6,70,70
Azerbaijan,2007,54.6,30,22,80.8,79.9,58,60.8,76.8,77.6,30,30
Bahrain,2007,71.2,60,58,99.4,75.3,80,40,80.1,79.6,50,90
Bangladesh ,2007,46.7,30,17,84.1,94,59.1,63.8,68.7,0,30,20
Barbados,2007,70,90,69,67.4,59.8,90,80,76.6,57,50,60
Belarus,2007,47,20,26,81.8,60,55.7,68.2,61.5,67.2,20,10
Belgium,2007,72.5,80,74,44.1,26.5,92.6,70.8,80.5,86.6,90,80
Belize,2007,63.3,50,37,69.7,74.9,77.4,83.2,73.2,67.2,50,50
Benin,2007,55.1,30,29,67.8,87,48.5,51.9,82.4,64.6,30,60
Bhutan,2007,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bolivia,2007,54.2,30,25,88.9,69.3,59.9,28.6,70.9,79.2,30,60
Bosnia and Herzegovina,2007,54.4,10,29,74.9,47.8,55.4,53.8,82.5,80.2,50,60
Botswana,2007,68.1,70,59,73.9,56.2,66.1,69.4,76.8,69.6,70,70
Brazil,2007,56.2,50,37,68.6,55.5,54.2,64.1,72.6,69.8,50,40
Bulgaria,2007,62.7,30,40,82.4,57.8,70.3,79.8,75.8,70.8,60,60
Burkina Faso,2007,55.1,30,34,77.4,86.5,43.8,45.1,76.8,67.2,40,50
Burma,2007,41,10,18,81.9,98,20,20,70.1,71.8,10,10
Burundi,2007,46.9,30,23,70.1,52.5,49.6,55,68.2,60.6,30,30
Cambodia,2007,55.9,30,23,91.4,93.3,43.5,44.3,81,52.2,50,50
Cameroon,2007,55.6,30,22,69.5,92.4,41,53.7,77.4,60,50,60
Canada,2007,78,90,84,75.9,52.2,96.8,82.5,80.7,88.2,60,70
Cape Verde,2007,56.5,70,30,67,56.5,55.7,56.4,88.1,41.2,50,50
Central African Republic,2007,50.6,20,30,65.6,94.4,41.1,49.4,76.5,49.2,40,40
Chad,2007,50.1,20,17,49.8,93.8,49,44.3,77.7,59.2,40,50
Chile,2007,77.7,90,73,78.8,87.9,68.2,77,79.8,82.4,70,70
China,2007,52,20,32,66.6,87,46.9,64.2,75.5,68,30,30
Colombia,2007,59.9,30,40,71.7,70.2,71.8,63.5,70.3,71.4,50,60
Comoros,2007,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Costa Rica ,2007,64,50,42,83,86.4,59,60.1,67.1,82.4,70,40
C̫te d'Ivoire ,2007,54.9,30,19,52.1,87.8,48.1,59.9,78.6,63.6,40,70
Croatia,2007,53.4,30,34,69.9,24.4,54.2,44.5,79.3,87.8,50,60
Cuba,2007,28.6,10,38,51.7,10,10,20,65.8,60.2,10,10
Cyprus,2007,71.7,90,57,79.4,44.8,70,70,84.7,81.6,70,70
Czech Republic,2007,67.4,70,43,69.9,47.1,61.1,59.7,86.3,86.6,70,80
Democratic Republic of Congo,2007,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Denmark,2007,77,90,95,34.2,12.8,94.8,99.9,86.8,86.6,80,90
Djibouti,2007,52.4,30,30,80.5,60,38.3,59.3,79,36.4,50,60
Dominica,2007,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
